;ADVANTEST CORP;AJINOMOTO CO;ALL NIPPON AIRWAYS Y50;ASAHI BANK;ASAHI BREWERIES;ASAHI CHEMICAL IND CO;ASAHI GLASS CO;BANK TOKYO-MITSUBISHI;BRIDGESTONE CORP;CANON INC;CASIO COMPUTER CO;CITIZEN WATCH CO;DAI NIPPON PRINTING CO;DAI-ICHI KANGYO BANK Y50;DAIWA SECURITIES GROUP;DENSO CORP;FANUC;FUJI BANK;FUJI PHOTO FILM CO;FUJITSU;HITACHI;HONDA MOTOR CO;INDUSTRIAL BANK OF JAPAN;ITO-YOKADO CO;JAPAN AIRCRAFT MFG CO;JUSCO CO;KANSAI ELECTRIC POWER CO;KAO CORP;KAWASAKI STEEL CORP;KIRIN BREWERY CO;KOMATSU;KYOCERA CORP;MARUI CO;MATSUSHITA ELECT IND'L;MATSUSHITA ELECTRIC WORKS Y50;MINOLTA Y50;MITSUBISHI CORP;MITSUBISHI ELECTRIC CORP;MITSUBISHI ESTATE CO;MITSUBISHI HEAVY IND;MITSUBISHI TRUST;MITSUI & CO;MITSUI FUDOSAN CO;MURATA MANUFACTURING CO;NEC CORP;NIKKO SECURITIES Y50;NINTENDO CO;NIPPON EXPRESS CO;NIPPON STEEL CORP;NIPPON TELEVISION NETWORK CORP Y500;NISSAN MOTOR CO;NOMURA SECURITIES CO;OJI PAPER CO;ORIX CORP;OSAKA GAS CO;RICOH Y50;ROHM CO;SAKURA BANK;SANKYO CO;SANWA BANK;SANYO ELECTRIC CO;SECOM CO;SEKISUI HOUSE;SEVEN-ELEVEN JAPAN NPV;SHARP CORP;SHIN-ETSU CHEMICAL CO;SHISEIDO CO;SONY CORP;SUMITOMO BANK;SUMITOMO CHEMICAL CO;SUMITOMO CORP;SUMITOMO ELECTRIC IND;TAISHO PHARMACEUTICAL CO;TAKEDA CHEMICAL IND;TDK CORP Y50;TOKAI BANK;TOKIO MARINE & FIRE;TOKYO ELECTRIC POWER CO;TOKYO ELECTRON;TOKYO GAS CO;TOPPAN PRINTING CO;TOSHIBA CORP;TOYOTA MOTOR CORP;YAMANOUCHI PHARM.;YAMATO TRANSPORT CO;YASUDA FIRE & MARINE INS Y50
32391,0000;380,0000;1900,6000;1869,1000;716,6000;1326,2000;841,9000;877,0000;860,3000;672,8000;1062,4000;1084,2000;612,3000;1135,0000;1142,5000;1156,5000;1126,1000;3801,2000;938,9000;1105,7000;1189,3000;902,8000;510,8000;1736,4000;1948,9000;109,2000;472,1000;1072,3000;1506,9000;988,5000;805,2000;324,1000;1494,0000;1157,1000;593,5000;589,3000;861,1000;360,6000;877,8000;608,0000;531,4000;1697,5000;250,5000;683,4000;2312,3999;1181,9000;832,7000;2437,8999;862,5000;825,7000;3074,8999;469,0000;976,2000;573,3000;411,6000;1039,3000;813,9000;100,0000;1115,8000;1724,3000;786,7000;639,4000;3550,3999;519,8000;1922,6000;1125,0000;1528,4000;401,3000;256,8000;1007,1000;929,4000;446,0000;1011,8000;1310,2000;1668,8000;1160,9000;1275,3000;640,2000;1597,2000;542,4000;1644,7000;1207,8000;1206,7000;1021,9000;4486,0000;874,2000;549,9000
32392,0000;375,1000;1900,6000;1846,9000;710,7000;1332,9000;841,9000;881,7000;866,3000;683,4000;1048,1000;1084,2000;617,9000;1135,0000;1142,5000;1167,0000;1126,1000;3740,7000;948,1000;1105,7000;1175,7000;897,3000;510,8000;1730,9000;1939,3000;109,2000;469,5000;1083,3000;1506,9000;1001,3000;800,9000;322,4000;1483,4000;1149,3000;586,6000;586,2000;858,7000;357,3000;868,1000;616,3000;531,4000;1685,6000;247,4000;689,6000;2278,1001;1181,9000;827,8000;2429,2000;855,9000;834,5000;3074,8999;469,0000;964,9000;561,0000;407,8000;1039,3000;813,9000;96,5000;1115,8000;1724,3000;783,5000;629,9000;3550,3999;526,0000;1922,6000;1104,7000;1520,1000;403,6000;253,4000;1004,1000;923,4000;446,0000;1033,5000;1357,0000;1650,6000;1146,5000;1264,3000;640,2000;1591,5000;542,4000;1673,0000;1214,2000;1195,0000;1006,1000;4582,3999;868,4000;544,6000
32393,0000;372,1000;1894,1000;1891,2000;722,6000;1312,9000;833,6000;886,4000;860,3000;683,4000;1055,2000;1099,5000;642,3000;1139,4000;1142,5000;1198,6000;1137,6000;3692,2000;963,4000;1093,2000;1189,3000;908,2000;513,2000;1758,1000;1939,3000;109,2000;474,7000;1076,0000;1506,9000;1046,5000;800,9000;319,7000;1491,3000;1153,2000;586,6000;583,0000;902,8000;354,0000;889,3000;627,3000;552,8000;1673,6000;250,5000;723,9000;2278,2000;1181,9000;842,4000;2417,6001;895,4000;872,1000;3102,2000;469,0000;981,8000;556,9000;414,1000;1055,1000;807,6000;98,7000;1156,3000;1724,3000;786,7000;629,9000;3538,7000;522,9000;1922,6000;1094,6000;1511,9000;408,4000;254,2000;998,0000;949,1000;446,0000;1011,8000;1383,8000;1632,3000;1148,9000;1264,3000;633,3000;1580,1000;557,5000;1701,4000;1201,4000;1253,5000;1006,1000;4518,1001;886,0000;539,2000
32394,0000;370,9000;1907,1000;1913,3000;716,6000;1312,9000;841,9000;891,1000;872,4000;672,8000;1048,1000;1099,5000;639,6000;1135,0000;1142,5000;1203,8000;1120,3000;3704,3000;966,5000;1096,4000;1189,3000;902,8000;510,8000;1758,1000;1934,5000;109,2000;466,9000;1068,7000;1524,6000;1049,4000;805,2000;327,7000;1480,7000;1141,5000;584,4000;586,2000;914,7000;360,6000;882,6000;632,8000;560,3000;1685,6000;252,6000;739,5000;2278,2000;1164,7000;852,1000;2417,6001;948,1000;879,7000;3074,8999;477,5000;973,4000;573,3000;410,3000;1095,2000;813,9000;97,5000;1136,1000;1724,3000;786,7000;639,4000;3521,3000;529,1000;1922,6000;1114,8000;1495,3000;401,3000;250,8000;998,0000;963,0000;446,0000;1040,7000;1357,0000;1620,1000;1144,1000;1264,3000;647,0000;1605,8000;557,6000;1772,3000;1214,2000;1230,1000;1014,0000;4528,7998;897,7000;555,3000
32395,0000;369,1000;1907,1000;1913,3000;716,6000;1252,9000;833,6000;909,8000;869,4000;688,7000;1040,9000;1076,6000;647,9000;1143,8000;1126,5000;1209,1000;1120,3000;3686,2000;963,4000;1096,4000;1168,9000;897,3000;508,3000;1741,8000;1929,6000;109,2000;466,9000;1072,3000;1524,6000;1072,0000;809,4000;328,1000;1478,0000;1141,5000;584,4000;602,0000;895,6000;357,3000;881,6000;610,7000;566,6000;1691,6000;254,7000;723,9000;2244,0000;1147,5000;837,5000;2362,3999;941,5000;899,7000;3074,8999;473,3000;979,0000;585,6000;407,8000;1100,5000;813,9000;97,5000;1115,8000;1740,7000;770,7000;650,9000;3498,0000;526,0000;1901,2000;1114,8000;1478,8000;396,6000;249,7000;998,0000;948,2000;450,4000;1011,8000;1337,0000;1632,3000;1115,1000;1253,4000;636,8000;1600,1000;546,2000;1743,9000;1233,3000;1230,1000;994,4000;4507,3999;915,3000;544,6000
32398,0000;369,1000;1920,1000;1913,3000;710,7000;1259,6000;841,9000;919,2000;866,3000;683,4000;1055,2000;1084,2000;659,8000;1148,1000;1126,5000;1182,8000;1114,6000;3692,2000;966,5000;1108,9000;1196,1000;930,0000;515,6000;1741,8000;1934,5000;109,2000;477,3000;1083,3000;1524,6000;1104,5000;800,9000;330,8000;1464,7000;1145,4000;588,9000;592,5000;875,4000;363,9000;896,1000;610,7000;577,9000;1685,6000;256,6000;727,0000;2235,5000;1159,0000;827,8000;2353,6001;948,1000;934,9000;3061,2000;481,8000;959,3000;589,7000;402,8000;1090,0000;788,5000;96,5000;1075,2000;1724,3000;786,7000;682,4000;3492,2000;522,9000;1927,9000;1104,7000;1445,8000;396,6000;250,8000;982,7000;953,1000;454,9000;1019,0000;1343,7000;1626,2000;1149,0000;1242,4000;650,4000;1597,2000;540,5000;1800,6000;1214,2000;1277,0000;1010,1000;4293,2998;909,4000;565,9000
32399,0000;372,7000;1920,1000;1924,4000;716,6000;1299,6000;850,1000;919,2000;866,3000;688,7000;1048,1000;1084,2000;651,4000;1148,1000;1138,5000;1209,1000;1114,6000;3692,2000;963,4000;1102,6000;1202,9000;951,7000;525,4000;1758,1000;1953,8000;109,2000;474,7000;1087,0000;1533,5000;1100,3000;805,2000;334,3000;1478,0000;1133,6000;600,3000;595,7000;881,4000;363,9000;905,7000;638,4000;577,9000;1679,6000;256,9000;761,4000;2261,3000;1170,5000;852,1000;2353,6001;961,2000;931,1000;3102,2000;490,3000;967,7000;585,6000;400,3000;1090,0000;794,8000;96,2000;1136,1000;1716,0000;770,7000;682,4000;3492,2000;522,9000;1927,9000;1135,1000;1470,5000;398,9000;252,3000;988,8000;941,2000;459,3000;1011,8000;1337,0000;1638,4000;1161,2000;1242,4000;640,2000;1611,5000;548,1000;1786,5000;1214,2000;1300,4000;1021,9000;4528,7998;897,7000;555,3000
32400,0000;370,3000;1939,5000;1891,2000;716,6000;1272,9000;841,9000;923,9000;863,3000;683,4000;1033,7000;1084,2000;643,0000;1152,5000;1142,5000;1198,6000;1126,1000;3655,8999;969,5000;1096,4000;1189,3000;946,3000;520,5000;1752,6000;1944,1000;109,2000;466,9000;1101,7000;1542,4000;1121,5000;805,2000;326,3000;1464,7000;1137,5000;593,5000;605,2000;883,7000;354,0000;925,0000;641,1000;589,9000;1667,7000;261,2000;764,5000;2321,3000;1153,3000;827,8000;2356,5000;974,4000;957,5000;3197,8999;503,1000;959,3000;581,5000;400,3000;1083,0000;801,2000;101,3000;1120,8000;1732,5000;757,8000;682,4000;3498,0000;529,1000;1922,6000;1125,0000;1470,5000;403,7000;252,7000;982,7000;949,1000;454,9000;1019,0000;1337,0000;1626,2000;1144,3000;1236,9000;640,2000;1602,9000;550,0000;1758,1000;1220,6000;1300,4000;1017,9000;4507,3999;909,4000;560,6000
32401,0000;370,3000;1939,5000;1891,2000;716,6000;1272,9000;841,9000;923,9000;863,3000;683,4000;1033,7000;1084,2000;643,0000;1152,5000;1142,5000;1198,6000;1126,1000;3655,8999;969,5000;1096,4000;1189,3000;946,3000;520,5000;1752,6000;1944,1000;109,2000;466,9000;1101,7000;1542,4000;1121,5000;805,2000;326,3000;1464,7000;1137,5000;593,5000;605,2000;883,7000;354,0000;925,0000;641,1000;589,9000;1667,7000;261,2000;764,5000;2321,3000;1153,3000;827,8000;2356,5000;974,4000;957,5000;3197,8999;503,1000;959,3000;581,5000;400,3000;1083,0000;801,2000;101,3000;1120,8000;1732,5000;757,8000;682,4000;3498,0000;529,1000;1922,6000;1125,0000;1470,5000;403,7000;252,7000;982,7000;949,1000;454,9000;1019,0000;1337,0000;1626,2000;1144,3000;1236,9000;640,2000;1602,9000;550,0000;1758,1000;1220,6000;1300,4000;1017,9000;4507,3999;909,4000;560,6000
32402,0000;369,7000;1933,1000;1880,1000;710,7000;1272,9000;841,9000;909,8000;866,3000;678,1000;1055,2000;1099,5000;624,9000;1148,1000;1134,5000;1177,6000;1143,3000;3674,1001;963,4000;1093,2000;1209,7000;973,5000;535,2000;1741,8000;1944,1000;109,2000;469,5000;1098,0000;1542,4000;1137,0000;796,6000;327,2000;1451,4000;1137,5000;602,6000;595,7000;893,3000;360,6000;953,9000;660,5000;599,3000;1685,6000;265,7000;789,4000;2321,3999;1170,5000;813,2000;2327,5000;994,2000;957,5000;3115,8999;524,4000;950,8000;573,3000;392,9000;1109,2000;794,8000;101,0000;1095,5000;1724,3000;761,0000;718,7000;3474,7000;526,0000;1922,6000;1145,2000;1445,8000;399,0000;257,9000;982,7000;954,1000;450,4000;1019,0000;1343,7000;1601,8000;1168,5000;1247,9000;629,9000;1608,7000;550,0000;1800,6000;1214,2000;1347,2000;1049,4000;4486,0000;915,3000;549,9000
