;ADVANTEST CORP;AJINOMOTO CO;ALL NIPPON AIRWAYS Y50;ASAHI BANK;ASAHI BREWERIES;ASAHI CHEMICAL IND CO;ASAHI GLASS CO;BANK TOKYO-MITSUBISHI;BRIDGESTONE CORP;CANON INC;CASIO COMPUTER CO;CITIZEN WATCH CO;DAI NIPPON PRINTING CO;DAI-ICHI KANGYO BANK Y50;DAIWA SECURITIES GROUP;DENSO CORP;FANUC;FUJI BANK;FUJI PHOTO FILM CO;FUJITSU;HITACHI;HONDA MOTOR CO;INDUSTRIAL BANK OF JAPAN;ITO-YOKADO CO;JAPAN AIRCRAFT MFG CO;JUSCO CO;KANSAI ELECTRIC POWER CO;KAO CORP;KAWASAKI STEEL CORP;KIRIN BREWERY CO;KOMATSU;KYOCERA CORP;MARUI CO;MATSUSHITA ELECT IND'L;MATSUSHITA ELECTRIC WORKS Y50;MINOLTA Y50;MITSUBISHI CORP;MITSUBISHI ELECTRIC CORP;MITSUBISHI ESTATE CO;MITSUBISHI HEAVY IND;MITSUBISHI TRUST;MITSUI & CO;MITSUI FUDOSAN CO;MURATA MANUFACTURING CO;NEC CORP;NIKKO SECURITIES Y50;NINTENDO CO;NIPPON EXPRESS CO;NIPPON STEEL CORP;NIPPON TELEVISION NETWORK CORP Y500;NISSAN MOTOR CO;NOMURA SECURITIES CO;OJI PAPER CO;ORIX CORP;OSAKA GAS CO;RICOH Y50;ROHM CO;SAKURA BANK;SANKYO CO;SANWA BANK;SANYO ELECTRIC CO;SECOM CO;SEKISUI HOUSE;SEVEN-ELEVEN JAPAN NPV;SHARP CORP;SHIN-ETSU CHEMICAL CO;SHISEIDO CO;SONY CORP;SUMITOMO BANK;SUMITOMO CHEMICAL CO;SUMITOMO CORP;SUMITOMO ELECTRIC IND;TAISHO PHARMACEUTICAL CO;TAKEDA CHEMICAL IND;TDK CORP Y50;TOKAI BANK;TOKIO MARINE & FIRE;TOKYO ELECTRIC POWER CO;TOKYO ELECTRON;TOKYO GAS CO;TOPPAN PRINTING CO;TOSHIBA CORP;TOYOTA MOTOR CORP;YAMANOUCHI PHARM.;YAMATO TRANSPORT CO;YASUDA FIRE & MARINE INS Y50
2798582400000;380;1900,6;1869,1;716,6;1326,2;841,9;877;860,3;672,8;1062,4;1084,2;612,3;1135;1142,5;1156,5;1126,1;3801,2;938,9;1105,7;1189,3;902,8;510,8;1736,4;1948,9;109,2;472,1;1072,3;1506,9;988,5;805,2;324,1;1494;1157,1;593,5;589,3;861,1;360,6;877,8;608;531,4;1697,5;250,5;683,4;2312,3999;1181,9;832,7;2437,8999;862,5;825,7;3074,8999;469;976,2;573,3;411,6;1039,3;813,9;100;1115,8;1724,3;786,7;639,4;3550,3999;519,8;1922,6;1125;1528,4;401,3;256,8;1007,1;929,4;446;1011,8;1310,2;1668,8;1160,9;1275,3;640,2;1597,2;542,4;1644,7;1207,8;1206,7;1021,9;4486;874,2;549,9
2798668800000;375,1;1900,6;1846,9;710,7;1332,9;841,9;881,7;866,3;683,4;1048,1;1084,2;617,9;1135;1142,5;1167;1126,1;3740,7;948,1;1105,7;1175,7;897,3;510,8;1730,9;1939,3;109,2;469,5;1083,3;1506,9;1001,3;800,9;322,4;1483,4;1149,3;586,6;586,2;858,7;357,3;868,1;616,3;531,4;1685,6;247,4;689,6;2278,1001;1181,9;827,8;2429,2;855,9;834,5;3074,8999;469;964,9;561;407,8;1039,3;813,9;96,5;1115,8;1724,3;783,5;629,9;3550,3999;526;1922,6;1104,7;1520,1;403,6;253,4;1004,1;923,4;446;1033,5;1357;1650,6;1146,5;1264,3;640,2;1591,5;542,4;1673;1214,2;1195;1006,1;4582,3999;868,4;544,6
2798755200000;372,1;1894,1;1891,2;722,6;1312,9;833,6;886,4;860,3;683,4;1055,2;1099,5;642,3;1139,4;1142,5;1198,6;1137,6;3692,2;963,4;1093,2;1189,3;908,2;513,2;1758,1;1939,3;109,2;474,7;1076;1506,9;1046,5;800,9;319,7;1491,3;1153,2;586,6;583;902,8;354;889,3;627,3;552,8;1673,6;250,5;723,9;2278,2;1181,9;842,4;2417,6001;895,4;872,1;3102,2;469;981,8;556,9;414,1;1055,1;807,6;98,7;1156,3;1724,3;786,7;629,9;3538,7;522,9;1922,6;1094,6;1511,9;408,4;254,2;998;949,1;446;1011,8;1383,8;1632,3;1148,9;1264,3;633,3;1580,1;557,5;1701,4;1201,4;1253,5;1006,1;4518,1001;886;539,2
2798841600000;370,9;1907,1;1913,3;716,6;1312,9;841,9;891,1;872,4;672,8;1048,1;1099,5;639,6;1135;1142,5;1203,8;1120,3;3704,3;966,5;1096,4;1189,3;902,8;510,8;1758,1;1934,5;109,2;466,9;1068,7;1524,6;1049,4;805,2;327,7;1480,7;1141,5;584,4;586,2;914,7;360,6;882,6;632,8;560,3;1685,6;252,6;739,5;2278,2;1164,7;852,1;2417,6001;948,1;879,7;3074,8999;477,5;973,4;573,3;410,3;1095,2;813,9;97,5;1136,1;1724,3;786,7;639,4;3521,3;529,1;1922,6;1114,8;1495,3;401,3;250,8;998;963;446;1040,7;1357;1620,1;1144,1;1264,3;647;1605,8;557,6;1772,3;1214,2;1230,1;1014;4528,7998;897,7;555,3
2798928000000;369,1;1907,1;1913,3;716,6;1252,9;833,6;909,8;869,4;688,7;1040,9;1076,6;647,9;1143,8;1126,5;1209,1;1120,3;3686,2;963,4;1096,4;1168,9;897,3;508,3;1741,8;1929,6;109,2;466,9;1072,3;1524,6;1072;809,4;328,1;1478;1141,5;584,4;602;895,6;357,3;881,6;610,7;566,6;1691,6;254,7;723,9;2244;1147,5;837,5;2362,3999;941,5;899,7;3074,8999;473,3;979;585,6;407,8;1100,5;813,9;97,5;1115,8;1740,7;770,7;650,9;3498;526;1901,2;1114,8;1478,8;396,6;249,7;998;948,2;450,4;1011,8;1337;1632,3;1115,1;1253,4;636,8;1600,1;546,2;1743,9;1233,3;1230,1;994,4;4507,3999;915,3;544,6
2799187200000;369,1;1920,1;1913,3;710,7;1259,6;841,9;919,2;866,3;683,4;1055,2;1084,2;659,8;1148,1;1126,5;1182,8;1114,6;3692,2;966,5;1108,9;1196,1;930;515,6;1741,8;1934,5;109,2;477,3;1083,3;1524,6;1104,5;800,9;330,8;1464,7;1145,4;588,9;592,5;875,4;363,9;896,1;610,7;577,9;1685,6;256,6;727;2235,5;1159;827,8;2353,6001;948,1;934,9;3061,2;481,8;959,3;589,7;402,8;1090;788,5;96,5;1075,2;1724,3;786,7;682,4;3492,2;522,9;1927,9;1104,7;1445,8;396,6;250,8;982,7;953,1;454,9;1019;1343,7;1626,2;1149;1242,4;650,4;1597,2;540,5;1800,6;1214,2;1277;1010,1;4293,2998;909,4;565,9
2799273600000;372,7;1920,1;1924,4;716,6;1299,6;850,1;919,2;866,3;688,7;1048,1;1084,2;651,4;1148,1;1138,5;1209,1;1114,6;3692,2;963,4;1102,6;1202,9;951,7;525,4;1758,1;1953,8;109,2;474,7;1087;1533,5;1100,3;805,2;334,3;1478;1133,6;600,3;595,7;881,4;363,9;905,7;638,4;577,9;1679,6;256,9;761,4;2261,3;1170,5;852,1;2353,6001;961,2;931,1;3102,2;490,3;967,7;585,6;400,3;1090;794,8;96,2;1136,1;1716;770,7;682,4;3492,2;522,9;1927,9;1135,1;1470,5;398,9;252,3;988,8;941,2;459,3;1011,8;1337;1638,4;1161,2;1242,4;640,2;1611,5;548,1;1786,5;1214,2;1300,4;1021,9;4528,7998;897,7;555,3
2799360000000;370,3;1939,5;1891,2;716,6;1272,9;841,9;923,9;863,3;683,4;1033,7;1084,2;643;1152,5;1142,5;1198,6;1126,1;3655,8999;969,5;1096,4;1189,3;946,3;520,5;1752,6;1944,1;109,2;466,9;1101,7;1542,4;1121,5;805,2;326,3;1464,7;1137,5;593,5;605,2;883,7;354;925;641,1;589,9;1667,7;261,2;764,5;2321,3;1153,3;827,8;2356,5;974,4;957,5;3197,8999;503,1;959,3;581,5;400,3;1083;801,2;101,3;1120,8;1732,5;757,8;682,4;3498;529,1;1922,6;1125;1470,5;403,7;252,7;982,7;949,1;454,9;1019;1337;1626,2;1144,3;1236,9;640,2;1602,9;550;1758,1;1220,6;1300,4;1017,9;4507,3999;909,4;560,6
2799446400000;370,3;1939,5;1891,2;716,6;1272,9;841,9;923,9;863,3;683,4;1033,7;1084,2;643;1152,5;1142,5;1198,6;1126,1;3655,8999;969,5;1096,4;1189,3;946,3;520,5;1752,6;1944,1;109,2;466,9;1101,7;1542,4;1121,5;805,2;326,3;1464,7;1137,5;593,5;605,2;883,7;354;925;641,1;589,9;1667,7;261,2;764,5;2321,3;1153,3;827,8;2356,5;974,4;957,5;3197,8999;503,1;959,3;581,5;400,3;1083;801,2;101,3;1120,8;1732,5;757,8;682,4;3498;529,1;1922,6;1125;1470,5;403,7;252,7;982,7;949,1;454,9;1019;1337;1626,2;1144,3;1236,9;640,2;1602,9;550;1758,1;1220,6;1300,4;1017,9;4507,3999;909,4;560,6
2799532800000;369,7;1933,1;1880,1;710,7;1272,9;841,9;909,8;866,3;678,1;1055,2;1099,5;624,9;1148,1;1134,5;1177,6;1143,3;3674,1001;963,4;1093,2;1209,7;973,5;535,2;1741,8;1944,1;109,2;469,5;1098;1542,4;1137;796,6;327,2;1451,4;1137,5;602,6;595,7;893,3;360,6;953,9;660,5;599,3;1685,6;265,7;789,4;2321,3999;1170,5;813,2;2327,5;994,2;957,5;3115,8999;524,4;950,8;573,3;392,9;1109,2;794,8;101;1095,5;1724,3;761;718,7;3474,7;526;1922,6;1145,2;1445,8;399;257,9;982,7;954,1;450,4;1019;1343,7;1601,8;1168,5;1247,9;629,9;1608,7;550;1800,6;1214,2;1347,2;1049,4;4486;915,3;549,9
