;ADVANTEST CORP;AJINOMOTO CO;ALL NIPPON AIRWAYS Y50;ASAHI BANK;ASAHI BREWERIES;ASAHI CHEMICAL IND CO;ASAHI GLASS CO;BANK TOKYO-MITSUBISHI;BRIDGESTONE CORP;CANON INC;CASIO COMPUTER CO;CITIZEN WATCH CO;DAI NIPPON PRINTING CO;DAI-ICHI KANGYO BANK Y50;DAIWA SECURITIES GROUP;DENSO CORP;FANUC;FUJI BANK;FUJI PHOTO FILM CO;FUJITSU;HITACHI;HONDA MOTOR CO;INDUSTRIAL BANK OF JAPAN;ITO-YOKADO CO;JAPAN AIRCRAFT MFG CO;JUSCO CO;KANSAI ELECTRIC POWER CO;KAO CORP;KAWASAKI STEEL CORP;KIRIN BREWERY CO;KOMATSU;KYOCERA CORP;MARUI CO;MATSUSHITA ELECT IND'L;MATSUSHITA ELECTRIC WORKS Y50;MINOLTA Y50;MITSUBISHI CORP;MITSUBISHI ELECTRIC CORP;MITSUBISHI ESTATE CO;MITSUBISHI HEAVY IND;MITSUBISHI TRUST;MITSUI & CO;MITSUI FUDOSAN CO;MURATA MANUFACTURING CO;NEC CORP;NIKKO SECURITIES Y50;NINTENDO CO;NIPPON EXPRESS CO;NIPPON STEEL CORP;NIPPON TELEVISION NETWORK CORP Y500;NISSAN MOTOR CO;NOMURA SECURITIES CO;OJI PAPER CO;ORIX CORP;OSAKA GAS CO;RICOH Y50;ROHM CO;SAKURA BANK;SANKYO CO;SANWA BANK;SANYO ELECTRIC CO;SECOM CO;SEKISUI HOUSE;SEVEN-ELEVEN JAPAN NPV;SHARP CORP;SHIN-ETSU CHEMICAL CO;SHISEIDO CO;SONY CORP;SUMITOMO BANK;SUMITOMO CHEMICAL CO;SUMITOMO CORP;SUMITOMO ELECTRIC IND;TAISHO PHARMACEUTICAL CO;TAKEDA CHEMICAL IND;TDK CORP Y50;TOKAI BANK;TOKIO MARINE & FIRE;TOKYO ELECTRIC POWER CO;TOKYO ELECTRON;TOKYO GAS CO;TOPPAN PRINTING CO;TOSHIBA CORP;TOYOTA MOTOR CORP;YAMANOUCHI PHARM.;YAMATO TRANSPORT CO;YASUDA FIRE & MARINE INS Y50
2798582400000;380;1900,6;1869,1;716,6;1326,2;841,9;877;860,3;672,8;1062,4;1084,2;612,3;1135;1142,5;1156,5;1126,1;3801,2;938,9;1105,7;1189,3;902,8;510,8;1736,4;1948,9;109,2;472,1;1072,3;1506,9;988,5;805,2;324,1;1494;1157,1;593,5;589,3;861,1;360,6;877,8;608;531,4;1697,5;250,5;683,4;2312,3999;1181,9;832,7;2437,8999;862,5;825,7;3074,8999;469;976,2;573,3;411,6;1039,3;813,9;100;1115,8;1724,3;786,7;639,4;3550,3999;519,8;1922,6;1125;1528,4;401,3;256,8;1007,1;929,4;446;1011,8;1310,2;1668,8;1160,9;1275,3;640,2;1597,2;542,4;1644,7;1207,8;1206,7;1021,9;4486;874,2;549,9
2798668800000;379,85;1900,4;1869;716;1325;841,3;876;860;672;1061;1084;612;1134;1142;1156;1126;3800;938,7;1105,5;1189;902;510;1736;1948;109,2;472;1072;1506;988;8005;323,875;1493,123;1149,3;586,6;586,2;858,7;357,3;868,1;616,3;531,4;1685,6;247,4;689,6;2278,1001;1181,9;827,8;2429,2;855,9;834,5;3074,8999;469;964,9;561;407,8;1039,3;813,9;96,5;1115,8;1724,3;783,5;629,9;3550,3999;526;1922,6;1104,7;1520,1;403,6;253,4;1004,1;923,4;446;1033,5;1357;1650,6;1146,5;1264,3;640,2;1591,5;542,4;1673;1214,2;1195;1006,1;4582,3999;868,4;544,6
2798755200000;379,7;1900,2;1868,9;715,4;1323,8;840,7;875;859,7;671,2;1059,6;1083,8;611,7;1133;1141,5;1155,5;1125,9;3798,8;938,5;1105,3;1188,7;901,2;509,2;1735,6;1947,1;109,2;471,9;1071,7;1505,1;987,5;15204,8;323,65;1492,246;1153,2;586,6;583;902,8;354;889,3;627,3;552,8;1673,6;250,5;723,9;2278,2;1181,9;842,4;2417,6001;895,4;872,1;3102,2;469;981,8;556,9;414,1;1055,1;807,6;98,7;1156,3;1724,3;786,7;629,9;3538,7;522,9;1922,6;1094,6;1511,9;408,4;254,2;998;949,1;446;1011,8;1383,8;1632,3;1148,9;1264,3;633,3;1580,1;557,5;1701,4;1201,4;1253,5;1006,1;4518,1001;886;539,2
2798841600000;379,55;1900;1868,8;714,8;1322,6;840,1;874;859,4;670,4;1058,2;1083,6;611,4;1132;1141;1155;1125,8;3797,6;938,3;1105,1;1188,4;900,4;508,4;1735,2;1946,2;109,2;471,8;1071,4;1504,2;987;22404,6;323,425;1491,369;1141,5;584,4;586,2;914,7;360,6;882,6;632,8;560,3;1685,6;252,6;739,5;2278,2;1164,7;852,1;2417,6001;948,1;879,7;3074,8999;477,5;973,4;573,3;410,3;1095,2;813,9;97,5;1136,1;1724,3;786,7;639,4;3521,3;529,1;1922,6;1114,8;1495,3;401,3;250,8;998;963;446;1040,7;1357;1620,1;1144,1;1264,3;647;1605,8;557,6;1772,3;1214,2;1230,1;1014;4528,7998;897,7;555,3
2798928000000;379,4;1899,8;1868,7;714,2;1321,4;839,5;873;859,1;669,6;1056,8;1083,4;611,1;1131;1140,5;1154,5;1125,7;3796,4;938,1;1104,9;1188,1;899,6;507,6;1734,8;1945,3;109,2;471,7;1071,1;1503,3;986,5;29604,4;323,2;1490,492;1141,5;584,4;602;895,6;357,3;881,6;610,7;566,6;1691,6;254,7;723,9;2244;1147,5;837,5;2362,3999;941,5;899,7;3074,8999;473,3;979;585,6;407,8;1100,5;813,9;97,5;1115,8;1740,7;770,7;650,9;3498;526;1901,2;1114,8;1478,8;396,6;249,7;998;948,2;450,4;1011,8;1337;1632,3;1115,1;1253,4;636,8;1600,1;546,2;1743,9;1233,3;1230,1;994,4;4507,3999;915,3;544,6
2799187200000;379,25;1899,6;1868,6;713,6;1320,2;838,9;872;858,8;668,8;1055,4;1083,2;610,8;1130;1140;1154;1125,6;3795,2;937,9;1104,7;1187,8;898,8;506,8;1734,4;1944,4;109,2;471,6;1070,8;1502,4;986;36804,2;322,975;1489,615;1145,4;588,9;592,5;875,4;363,9;896,1;610,7;577,9;1685,6;256,6;727;2235,5;1159;827,8;2353,6001;948,1;934,9;3061,2;481,8;959,3;589,7;402,8;1090;788,5;96,5;1075,2;1724,3;786,7;682,4;3492,2;522,9;1927,9;1104,7;1445,8;396,6;250,8;982,7;953,1;454,9;1019;1343,7;1626,2;1149;1242,4;650,4;1597,2;540,5;1800,6;1214,2;1277;1010,1;4293,2998;909,4;565,9
2799273600000;379,1;1899,4;1868,5;713;1319;838,3;871;858,5;668;1054;1083;610,5;1129;1139,5;1153,5;1125,5;3794;937,7;1104,5;1187,5;898;506;1734;1943,5;109,2;471,5;1070,5;1501,5;985,5;44004;322,75;1488,738;1133,6;600,3;595,7;881,4;363,9;905,7;638,4;577,9;1679,6;256,9;761,4;2261,3;1170,5;852,1;2353,6001;961,2;931,1;3102,2;490,3;967,7;585,6;400,3;1090;794,8;96,2;1136,1;1716;770,7;682,4;3492,2;522,9;1927,9;1135,1;1470,5;398,9;252,3;988,8;941,2;459,3;1011,8;1337;1638,4;1161,2;1242,4;640,2;1611,5;548,1;1786,5;1214,2;1300,4;1021,9;4528,7998;897,7;555,3
2799360000000;378,95;1939,5;1868,4;712,4;1317,8;837,7;870;858,2;667,2;1052,6;1082,8;610,2;1128;1139;1153;1125,4;3792,8;937,5;1104,3;1187,2;897,2;505,2;1733,6;1942,6;109,2;471,4;1070,2;1500,6;985;51203,8;322,525;1487,861;1137,5;593,5;605,2;883,7;354;925;641,1;589,9;1667,7;261,2;764,5;2321,3;1153,3;827,8;2356,5;974,4;957,5;3197,8999;503,1;959,3;581,5;400,3;1083;801,2;101,3;1120,8;1732,5;757,8;682,4;3498;529,1;1922,6;1125;1470,5;403,7;252,7;982,7;949,1;454,9;1019;1337;1626,2;1144,3;1236,9;640,2;1602,9;550;1758,1;1220,6;1300,4;1017,9;4507,3999;909,4;560,6
2799446400000;378,8;1939,5;1868,3;711,8;1316,6;837,1;869;857,9;666,4;1051,2;1082,6;609,9;1127;1138,5;1152,5;1125,3;3791,6;937,3;1104,1;1186,9;896,4;504,4;1733,2;1941,7;109,2;471,3;1069,9;1499,7;984,5;58403,6;322,3;1486,984;1137,5;593,5;605,2;883,7;354;925;641,1;589,9;1667,7;261,2;764,5;2321,3;1153,3;827,8;2356,5;974,4;957,5;3197,8999;503,1;959,3;581,5;400,3;1083;801,2;101,3;1120,8;1732,5;757,8;682,4;3498;529,1;1922,6;1125;1470,5;403,7;252,7;982,7;949,1;454,9;1019;1337;1626,2;1144,3;1236,9;640,2;1602,9;550;1758,1;1220,6;1300,4;1017,9;4507,3999;909,4;560,6
2799532800000;378,65;1933,1;1868,2;711,2;1315,4;836,5;868;857,6;665,6;1049,8;1082,4;609,6;1126;1138;1152;1125,2;3790,4;937,1;1103,9;1186,6;895,6;503,6;1732,8;1940,8;109,2;471,2;1069,6;1498,8;984;65603,4;322,075;1486,107;1137,5;602,6;595,7;893,3;360,6;953,9;660,5;599,3;1685,6;265,7;789,4;2321,3999;1170,5;813,2;2327,5;994,2;957,5;3115,8999;524,4;950,8;573,3;392,9;1109,2;794,8;101;1095,5;1724,3;761;718,7;3474,7;526;1922,6;1145,2;1445,8;399;257,9;982,7;954,1;450,4;1019;1343,7;1601,8;1168,5;1247,9;629,9;1608,7;550;1800,6;1214,2;1347,2;1049,4;4486;915,3;549,9
