;ADVANTEST CORP;AJINOMOTO CO;ALL NIPPON AIRWAYS Y50;ASAHI BANK;ASAHI BREWERIES;ASAHI CHEMICAL IND CO;ASAHI GLASS CO;BANK TOKYO-MITSUBISHI;BRIDGESTONE CORP;CANON INC;CASIO COMPUTER CO;CITIZEN WATCH CO;DAI NIPPON PRINTING CO;DAI-ICHI KANGYO BANK Y50;DAIWA SECURITIES GROUP;DENSO CORP;FANUC;FUJI BANK;FUJI PHOTO FILM CO;FUJITSU;HITACHI;HONDA MOTOR CO;INDUSTRIAL BANK OF JAPAN;ITO-YOKADO CO;JAPAN AIRCRAFT MFG CO;JUSCO CO;KANSAI ELECTRIC POWER CO;KAO CORP;KAWASAKI STEEL CORP;KIRIN BREWERY CO;KOMATSU;KYOCERA CORP;MARUI CO;MATSUSHITA ELECT IND'L;MATSUSHITA ELECTRIC WORKS Y50;MINOLTA Y50;MITSUBISHI CORP;MITSUBISHI ELECTRIC CORP;MITSUBISHI ESTATE CO;MITSUBISHI HEAVY IND;MITSUBISHI TRUST;MITSUI & CO;MITSUI FUDOSAN CO;MURATA MANUFACTURING CO;NEC CORP;NIKKO SECURITIES Y50;NINTENDO CO;NIPPON EXPRESS CO;NIPPON STEEL CORP;NIPPON TELEVISION NETWORK CORP Y500;NISSAN MOTOR CO;NOMURA SECURITIES CO;OJI PAPER CO;ORIX CORP;OSAKA GAS CO;RICOH Y50;ROHM CO;SAKURA BANK;SANKYO CO;SANWA BANK;SANYO ELECTRIC CO;SECOM CO;SEKISUI HOUSE;SEVEN-ELEVEN JAPAN NPV;SHARP CORP;SHIN-ETSU CHEMICAL CO;SHISEIDO CO;SONY CORP;SUMITOMO BANK;SUMITOMO CHEMICAL CO;SUMITOMO CORP;SUMITOMO ELECTRIC IND;TAISHO PHARMACEUTICAL CO;TAKEDA CHEMICAL IND;TDK CORP Y50;TOKAI BANK;TOKIO MARINE & FIRE;TOKYO ELECTRIC POWER CO;TOKYO ELECTRON;TOKYO GAS CO;TOPPAN PRINTING CO;TOSHIBA CORP;TOYOTA MOTOR CORP;YAMANOUCHI PHARM.;YAMATO TRANSPORT CO;YASUDA FIRE & MARINE INS Y50
3097440000000;912,5;868,1;797,6;433,4;1257,8;482,4;355;614,4;1661,6;2478,8999;840,7;703,1;1034,6;472,9;336,9;1688,7;2838,6001;306,7;2092,5;1036,5;590,6;1145,7;578;3937,3999;31,9;579,1;962,2;1851,8;334;549,4;326,5;1886,9;990,5;483,7;512,6;928;342,4;404,4;406,6;357,5;876,6;274,7;448,8;4143,1001;880,6;242,5;7105,8999;531,8;304,2;5726,8999;281,1;517,7;272,5;1176;564,4;1056,5;572,3;279,2;3352,3999;458;360,9;6239,2998;377,2;6816,7998;1057,4;2427,5;515,4;504,1;526,8;384,3;422,5;1384,7;2408,5;2278,5;2573,7;513,9;520,5;795,6;1297,4;442,7;1050,4;743,7;1888,4;4132,6001;1188,8;403,9
3097526400000;913,4;875;807,2;427,5;1296,9;475,2;366,6;628,9;1661,6;2504,3999;849,1;700,8;1049,5;477,6;351,5;1702,3;2845;317,2;2162,8;1051,4;581,8;1143,1;586,7;3880,8999;32,4;594;966,8;1862,9;322,7;549,4;322,4;1965,6;995,5;476;516,8;936,8;343,5;407,7;406,6;362,3;922,7;265,5;459,3;4143,1001;880,6;244,7;7230,6001;522,4;302,8;5786,7002;273;533,1;270,2;1189,7;558,3;1063,9;563,4;280,3;3477,8;458;362;6231,2998;375,3;6762,6001;1055,2;2445,6001;525,6;504,1;538,1;387,6;432,9;1400,2;2400,3999;2278,5;2581,6001;503;524,3;802,4;1300,3;436,3;1072,1;721,2;1905,6;4160,1001;1196,5;409,1
3097612800000;866,6;875;831,1;429,5;1328,1;473,4;363,1;639,7;1667,4;2478,8999;874,3;674;1049,5;491,7;359,6;1722,7;2895,3999;326,2;2167,2;1036,5;593,8;1158,9;598,3;3892,2;32,9;617,9;962,2;1874;324,3;574,8;309,1;1959,5;990,5;473,4;525,2;966,9;341;412,1;403,7;356,8;949,1;270,6;476,7;4306,2002;874,4;256,3;7292,8999;528,2;298,7;5801,6001;264,4;533,1;287,2;1223,8;570,5;1041,6;576,8;287,7;3571,8;465,3;355,6;6344;377,2;6801,2998;1056,3;2490,7;542,6;513;560,7;391,8;442,9;1400,2;2448,6001;2298,2;2589,6001;520,6;531,9;805,8;1297,4;441,1;1064,9;727,8;1957,1;4187,7002;1204,3;406,2
3097699200000;819,8;868,1;874,1;440,7;1320,3;511,5;381,1;647;1684,7;2453,3999;874,3;700,8;1064,3;501;362,5;1749,8;2901,7;341,2;2176;1051,4;596,9;1151;604,1;3897,8;33,9;611,9;980,3;1896,2;340,4;559,6;307,6;2059,5;1035,5;473,4;529,4;955,6;338,9;422;412,5;383,3;982;277,5;473,2;4327,8999;874,4;264,8;7230,6001;570,1;326,2;5711,8999;261,5;536,2;304,2;1258;572,6;1004,4;558,9;299;3540,3999;461,6;359,9;6335,8999;375,3;6832,2998;1082,6;2508,8;539,2;508,6;564,5;417,4;460,8;1423,4;2384,3999;2304,8;2549,8999;545;543,3;812,7;1311,9;447,5;1079,4;749;1997,1;4229;1227,4;415,4
3097958400000;850,1;875;882,5;453,3;1359,4;523,2;391,7;650,6;1736,9;2478,8999;950;704,6;1079,2;501;373,6;1790,5;2939,6001;355,5;2198;1051,4;620,2;1145,7;633,2;3824,3999;36,9;650,7;984,8;1862,9;362,9;585;311,7;2062,5;1050,6;491,4;542;950,6;345,6;427,5;421,3;397,9;988,6;289,4;490,6;4327,8999;905,4;278,1;7168,2998;598,3;338,6;5442,7998;263,9;548,5;315;1240,3;578,7;1026,7;558,9;306,9;3509,1001;472,6;366,2;6360,1001;392,3;6964;1106,7;2517,8;529;508,6;568,2;435,6;482,3;1415,6;2408,5;2324,6001;2560,5;573,1;562,3;809,2;1317,6;450,7;1130,1;778,1;1997,1;4201,3999;1258,3;440,9
3098044800000;855,6;882;890,9;465,8;1335,9;503,3;386,7;639,7;1725,3;2487,3999;950;712,3;1069,3;505,7;390,4;1763,3;2952,2;359;2167,2;1044;617,1;1143,1;633,2;3937,3999;36,3;653,7;975,8;1862,9;356,5;579,9;306,1;2098,8999;1060,6;488,8;542;966,9;359,7;423,1;435,9;388,8;962,3;289,4;501;4327,8999;899,2;287,7;7355,2998;592,5;334,5;5771,7002;257,7;542,4;314,5;1241,6;592,9;1041,6;558,9;309,2;3571,8;469;385,3;6400,2998;392,3;6933;1128,6;2490,7;532,4;517,5;545,7;423,9;476;1400,2;2392,3999;2318;2579;571,9;547,1;805,8;1349,4;457,2;1093,9;775,4;1974,3;4187,7002;1212;429,3
3098131200000;863;875;869,3;454,6;1351,6;512,4;366,6;636,1;1719,5;2487,3999;966,8;719,9;1074,2;496,4;384;1756,6;2964,8;359;2180,3999;1036,5;612;1153,6;621,6;3937,3999;35,8;644,7;989,3;1874;342;564,6;309,1;2223;1040,5;486,3;529,4;955,6;356,2;406,6;435,9;390,2;955,7;290,8;504,5;4349,7002;899,2;287,7;7355,2998;590,4;326,2;5831,5;255,3;536,2;310,9;1256,7;590,9;1063,9;576,8;308,6;3655,3;472,6;386,3;6440,6001;388,5;6909,7998;1128,6;2409,5;532,4;517,5;545,7;410;456,6;1384,7;2424,5;2298,2;2605,3999;559,1;562,3;805,8;1332,1;463,6;1151,8;775,4;1997,1;4284,1001;1227,4;427,6
3098217600000;842,8;868,1;864,6;442;1328,1;499,7;360,1;628,9;1719,5;2495,8999;966,8;701,6;1094;491,7;369,5;1749,8;2901,7;355,5;2136,5;1021,7;605,1;1151;615,8;3914,8;34,8;641,7;989,3;1862,9;342;554,5;318,3;2104,8999;1030,5;481,1;512,6;938;349,8;411;430;383,9;942,5;289,4;483,6;4349,7002;893;277,6;6918,8999;572,3;316,6;5816,6001;245,3;520,8;307,4;1237,5;586,8;1056,5;572,3;304,1;3644,8999;469;383,2;6400,2998;392,3;7002,7998;1106,7;2310,2;529;495,2;549,4;410;451,8;1361,5;2400,3999;2271,8999;2549,8999;548,1;547,1;805,8;1309;454;1115,6;749;1991,4;4297,8999;1219,7;416
3098304000000;843,7;868,1;829,9;452,6;1320,3;512,4;369,6;636,1;1736,9;2487,3999;966,8;716,1;1118,8;501;381,1;1749,8;2870,2;372,9;2189,2;1044;615,8;1161,5;621,6;3914,8;34,4;641,7;989,3;1874;351,6;574,8;314,2;2059,5;1045,6;486,3;521;949,3;359,7;407,7;435,9;397,2;968,9;290,8;501;4273,6001;899,2;281,8;6918,8999;587,5;327,6;5891,2998;247,2;527;312,3;1281,3;592,9;1049;590,2;305,2;3686,6001;472,6;378,9;6464,7998;392,3;7018,2002;1139,6;2301,2;518,8;504,1;553,2;420,6;472,3;1377;2400,3999;2298,2;2526,1001;571,9;547,1;816,1;1274,3;454;1115,6;758,2;2002,9;4297,8999;1219,7;418,3
3098563200000;834,5;854,2;825,1;442,7;1312,5;492,4;384,2;628,9;1707,9;2512,8;966,8;689,3;1099;501;382,3;1743;2807,1001;386,9;2162,8;1006,9;610,1;1166,8;615,8;3886,5;33,8;638,8;975,8;1874;358,1;564,6;314,7;1941,4;1040,5;478,5;521;946,8;363,2;396,7;433;389,5;962,3;289,8;501;4273,6001;874,4;283,9;6856,6001;588,9;330,3;5891,2998;248,2;520,8;306,9;1245,7;572,6;1034,1;572,3;304,1;3759,7;465,3;389,5;6352;381;6902;1106,7;2256,1001;522,2;499,6;545,7;420,6;472,8;1369,2;2328,2;2271,8999;2565,8;571,2;539,5;809,2;1236,7;445,9;1101,1;727,8;1980;4270,2998;1219,7;421,8
