Ergebnis¸bersicht:;;;;;;
;;;;;;
ID: 68 Namen: Schneckenburger-Max-Stromeyer;;;;;;
Daten der vorgelagerten WS:;;;;;;
WS-ID;L‰nge;durchs. L‰nge;max L‰nge;durchs. Wartezeit;proz. Straﬂenauslastung;proz. Stau
0;0;0;0;0;0;0
1;0;0;0;0;0;0
2;0;0;0;0;0;0
3;0;0;0;0;0;0
;;;;;;
Daten der WS:;;;;;;
WS-ID;L‰nge;durchs. L‰nge;max L‰nge;durchs. Wartezeit;proz. Straﬂenauslastung;
0;0;0,32;1;21,76;6,16;
1;0;0;0;0;0;
2;0;0;0;0;0;
3;0;0;0;0;0;
4;0;0,29;3;12,87;6,08;
5;1;1,14;5;39,33;15,87;
6;0;0,23;2;27,09;0,95;
7;0;0,64;2;36,2;10,98;
;;;;;;
;;;;;;
;;;;;;
ID: 10 Namen: Reichenau-Petershausen;;;;;;
Daten der vorgelagerten WS:;;;;;;
WS-ID;L‰nge;durchs. L‰nge;max L‰nge;durchs. Wartezeit;proz. Straﬂenauslastung;proz. Stau
0;0;0;0;0;0;0
1;0;0,02;1;5,59;0,02;0
2;0;0;0;0;0;0
3;0;0;0;0;0;0
;;;;;;
Daten der WS:;;;;;;
WS-ID;L‰nge;durchs. L‰nge;max L‰nge;durchs. Wartezeit;proz. Straﬂenauslastung;
0;0;0,12;2;19,17;2,57;
1;0;0,05;1;16,51;0,23;
2;0;1,66;6;23,59;27,35;
3;0;0;0;0;0;
4;0;0;0;0;0;
5;0;0;0;0;0;
6;3;0,95;4;16,69;15,42;
7;1;0,42;3;14,63;6,84;
;;;;;;
;;;;;;
;;;;;;
ID: 24 Namen: Bodan-Bahnhof;;;;;;
Daten der vorgelagerten WS:;;;;;;
WS-ID;L‰nge;durchs. L‰nge;max L‰nge;durchs. Wartezeit;proz. Straﬂenauslastung;proz. Stau
0;0;0;0;0;0;0
1;0;0;0;0;0;0
2;0;0;1;0,26;0;0
3;0;0;0;0;0;0
;;;;;;
Daten der WS:;;;;;;
WS-ID;L‰nge;durchs. L‰nge;max L‰nge;durchs. Wartezeit;proz. Straﬂenauslastung;
0;0;0,18;2;9,75;2,01;
1;0;0;0;0;0;
2;0;0;0;0;0;
3;0;0;0;0;0;
4;0;0,45;2;18,36;4,58;
5;2;0,7;3;29,69;16,08;
6;3;0,61;4;21,51;11,23;
7;0;0,73;3;22,48;4,06;
;;;;;;
;;;;;;
;;;;;;
ID: 26 Namen: Laube-Wallgut;;;;;;
Daten der vorgelagerten WS:;;;;;;
WS-ID;L‰nge;durchs. L‰nge;max L‰nge;durchs. Wartezeit;proz. Straﬂenauslastung;proz. Stau
0;0;0;0;0;0;0
1;0;0;0;0;0;0
2;0;0;0;0;0;0
3;0;0;0;0;0;0
;;;;;;
Daten der WS:;;;;;;
WS-ID;L‰nge;durchs. L‰nge;max L‰nge;durchs. Wartezeit;proz. Straﬂenauslastung;
0;0;0,34;4;10,38;3,73;
1;0;0,1;1;14,8;1,05;
2;0;0;0;0;0;
3;0;0;0;0;0;
4;0;1,13;5;22,03;21,14;
5;0;0,05;1;20,36;0,3;
6;0;0;0;0;0;
7;0;0;0;0;0;
;;;;;;
;;;;;;
;;;;;;
ID: 28 Namen: Laube-Garten;;;;;;
Daten der vorgelagerten WS:;;;;;;
WS-ID;L‰nge;durchs. L‰nge;max L‰nge;durchs. Wartezeit;proz. Straﬂenauslastung;proz. Stau
0;0;0,06;3;9,48;0,04;0
1;0;0;0;0;0;0
2;0;0;0;0;0;0
3;5;0,29;5;0;0,29;0
;;;;;;
Daten der WS:;;;;;;
WS-ID;L‰nge;durchs. L‰nge;max L‰nge;durchs. Wartezeit;proz. Straﬂenauslastung;
0;5;2,08;8;43,45;27,24;
1;0;0,1;1;32,04;0,04;
2;0;0;0;0;0;
3;0;0;0;0;0;
4;0;1,21;7;45,15;23,19;
5;0;0,18;1;21,85;2,35;
6;3;1,44;5;105,82;39,92;
7;1;0,96;4;68,88;10,28;
;;;;;;
;;;;;;
;;;;;;
ID: 9 Namen: Spanier-Konzil;;;;;;
Daten der vorgelagerten WS:;;;;;;
WS-ID;L‰nge;durchs. L‰nge;max L‰nge;durchs. Wartezeit;proz. Straﬂenauslastung;proz. Stau
0;0;0;0;0;0;0
1;0;0,13;5;9,46;0,28;0
2;0;0;0;0;0;0
3;0;0;0;0;0;0
;;;;;;
Daten der WS:;;;;;;
WS-ID;L‰nge;durchs. L‰nge;max L‰nge;durchs. Wartezeit;proz. Straﬂenauslastung;
0;0;0,27;2;32,82;4,55;
1;0;0,08;1;28,15;0,69;
2;0;0,28;2;22,84;2,98;
3;4;1,93;5;47,4;35,21;
4;3;1,75;6;27,08;47,16;
5;2;1,49;5;30,42;24,06;
6;1;0,37;2;48,01;4,11;
7;2;0,36;2;25,79;6,18;
