m;;;;;;;
;;;;;;;
Kreuzungs-ID: 27; Kreuzungs-Name: Ampel27;;;;;;
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;0;0;0;0;0;0
1;Vorgelagert-Ost ;0;0;0;0;0;0
2;Vorgelagert-Süd ;0;0,1;4;35;0,6;0
3;Vorgelagert-West;14;12,78;22;126;102,26;59,26
;;;;;;;
Daten der WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;
0;Nord: Rechts/Gerade;0;0,31;3;29;9,93;
1;Nord: Links;0;0,26;4;37;8,22;
2;Ost: Rechts/Gerade;0;0;0;0;0;
3;Ost: Links;0;0;0;0;0;
4;Süd: Rechts/Gerade;0;0,29;4;30;9,13;
5;Süd: Links;0;0,7;5;54;22,12;
6;West: Rechts/Gerade;4;3,64;5;170;118,41;
7;West: Links;0;2,29;4;169;75,25;
;;;;;;;
;;;;;;;
;;;;;;;
Kreuzungs-ID: 17; Kreuzungs-Name: Ampel17;;;;;;
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;13;5,83;16;91;47,45;9,18
1;Vorgelagert-Ost ;0;0;0;0;0;0
2;Vorgelagert-Süd ;0;0;0;0;0;0
3;Vorgelagert-West;0;0;0;0;0;0
;;;;;;;
Daten der WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;
0;Nord: Rechts/Gerade;4;2,98;5;112;99,72;
1;Nord: Links;1;1,18;4;91;39,12;
2;Ost: Rechts/Gerade;0;0;0;0;0;
3;Ost: Links;0;0;0;0;0;
4;Süd: Rechts/Gerade;0;0;0;0;0;
5;Süd: Links;0;0;0;0;0;
6;West: Rechts/Gerade;0;0;0;0;0;
7;West: Links;0;0;0;0;0;
;;;;;;;
;;;;;;;
;;;;;;;
Kreuzungs-ID: 18; Kreuzungs-Name: Ampel18;;;;;;
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;0;0;0;0;0;0
1;Vorgelagert-Ost ;0;0;0;0;0;0
2;Vorgelagert-Süd ;0;0,03;2;9;0,07;0
3;Vorgelagert-West;0;0;0;0;0;0
;;;;;;;
Daten der WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;
0;Nord: Rechts/Gerade;0;0;0;0;0;
1;Nord: Links;0;0;0;0;0;
2;Ost: Rechts/Gerade;0;0;0;0;0;
3;Ost: Links;0;0;0;0;0;
4;Süd: Rechts/Gerade;0;0,57;4;23;19,38;
5;Süd: Links;1;0,32;4;14;10,17;
6;West: Rechts/Gerade;0;0;0;0;0;
7;West: Links;0;0;0;0;0;
;;;;;;;
;;;;;;;
;;;;;;;
Kreuzungs-ID: 19; Kreuzungs-Name: Ampel19;;;;;;
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;0;0;0;0;0;0
1;Vorgelagert-Ost ;0;0;0;0;0;0
2;Vorgelagert-Süd ;321;157,74;321;831;1318,98;95,81
3;Vorgelagert-West;0;0;0;0;0;0
;;;;;;;
Daten der WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;
0;Nord: Rechts/Gerade;0;0;0;0;0;
1;Nord: Links;0;0;0;0;0;
2;Ost: Rechts/Gerade;0;0;0;0;0;
3;Ost: Links;0;0;0;0;0;
4;Süd: Rechts/Gerade;3;2,73;5;884;94,19;
5;Süd: Links;1;3,23;5;823;107,37;
6;West: Rechts/Gerade;0;0,3;3;22;10,09;
7;West: Links;0;0,29;3;19;9,08;
;;;;;;;
;;;;;;;
;;;;;;;
Kreuzungs-ID: 10; Kreuzungs-Name: Ampel10;;;;;;
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;0;3,1;12;335;27,69;14,8
1;Vorgelagert-Ost ;26;16,66;31;181;83,32;41,87
2;Vorgelagert-Süd ;0;0;0;0;0;0
3;Vorgelagert-West;14;6,49;20;77;53,53;22,34
;;;;;;;
Daten der WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;
0;Nord: Rechts;2;1,24;4;304;44,51;
1;Nord: Gerade;0;0;0;0;0;
2;Nord: Links;1;1,38;5;140;46,64;
3;Ost: Rechts;0;1,76;5;224;54,5;
4;Ost: Gerade;3;3,49;6;216;115,66;
5;Ost: Links;0;0;0;0;0;
6;Süd: Rechts;0;0;0;0;0;
7;Süd: Gerade;0;0;0;0;0;
8;Süd: Links;0;0;0;0;0;
9;West: Rechts;0;0;0;0;0;
10;West: Gerade;4;3,05;5;93;102,06;
11;West: Links;0;1,72;4;100;51,81;
;;;;;;;
;;;;;;;
;;;;;;;
Kreuzungs-ID: 11; Kreuzungs-Name: Ampel11;;;;;;
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
