Ergebnisübersicht:;;;;;;;
;;;;;;;
Kreuzungs-ID: 68; Kreuzungs-Name: Schneckenburger-Max-Stromeyer;;;;;;
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;0;0;0;0;0;0
1;Vorgelagert-Ost ;0;0;0;0;0;0
2;Vorgelagert-Süd ;0;0,02;2;16;0,17;0
3;Vorgelagert-West;0;0,09;3;23;0,63;0
;;;;;;;
Daten der WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;
0;Nord: Rechts/Gerade;0;0,22;3;27;7,77;
1;Nord: Links;1;0,19;3;32;5,77;
2;Ost: Rechts/Gerade;0;0;0;0;0;
3;Ost: Links;0;0;0;0;0;
4;Süd: Rechts/Gerade;0;0,21;3;33;7,74;
5;Süd: Links;0;0,41;4;37;12,74;
6;West: Rechts/Gerade;0;0,91;5;31;31,59;
7;West: Links;0;0,29;3;31;9,48;
;;;;;;;
;;;;;;;
;;;;;;;
Kreuzungs-ID: 10; Kreuzungs-Name: Reichenau-Petershausen;;;;;;
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;0;0;0;0;0;0
1;Vorgelagert-Ost ;0;0,05;4;13;0,21;0
2;Vorgelagert-Süd ;0;0;0;0;0;0
3;Vorgelagert-West;17;18,84;30;277;93,85;51,38
;;;;;;;
Daten der WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;
0;Nord: Rechts/Gerade;0;0,05;2;18;1,73;
1;Nord: Links;1;0,26;2;87;6,62;
2;Ost: Rechts/Gerade;0;0,73;5;18;24,15;
3;Ost: Links;0;0;0;0;0;
4;Süd: Rechts/Gerade;0;0;0;0;0;
5;Süd: Links;0;0;0;0;0;
6;West: Rechts/Gerade;3;3,5;5;314;115,58;
7;West: Links;0;1,63;4;292;57,66;
;;;;;;;
;;;;;;;
;;;;;;;
Kreuzungs-ID: 24; Kreuzungs-Name: Bodan-Bahnhof;;;;;;
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;5;9,97;24;177;11,06;0
1;Vorgelagert-Ost ;0;0;0;0;0;0
2;Vorgelagert-Süd ;0;0,02;2;8;0,11;0
3;Vorgelagert-West;0;0,04;4;17;0,11;0
;;;;;;;
Daten der WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;
0;Nord: Rechts/Gerade;4;3,43;5;214;109,53;
1;Nord: Links;0;0;0;0;0;
2;Ost: Rechts/Gerade;0;0;0;0;0;
3;Ost: Links;0;0;0;0;0;
4;Süd: Rechts/Gerade;0;0,53;4;19;16,45;
5;Süd: Links;2;0,83;5;26;26,5;
6;West: Rechts/Gerade;0;0,77;4;29;25,29;
7;West: Links;0;0,63;4;23;18,46;
;;;;;;;
;;;;;;;
;;;;;;;
Kreuzungs-ID: 26; Kreuzungs-Name: Laube-Wallgut;;;;;;
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;0;0,07;5;11;0,56;0
1;Vorgelagert-Ost ;0;0;0;0;0;0
2;Vorgelagert-Süd ;0;0,17;7;13;0,35;0
3;Vorgelagert-West;0;0;0;0;0;0
;;;;;;;
Daten der WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;
0;Nord: Rechts/Gerade;1;0,52;5;17;15,93;
1;Nord: Links;0;0,18;2;17;6,49;
2;Ost: Rechts/Gerade;0;0;0;0;0;
3;Ost: Links;0;0;0;0;0;
4;Süd: Rechts/Gerade;5;1,07;5;21;34,3;
5;Süd: Links;0;0,28;4;19;11,04;
6;West: Rechts/Gerade;0;0;0;0;0;
7;West: Links;0;0;0;0;0;
;;;;;;;
;;;;;;;
;;;;;;;
Kreuzungs-ID: 28; Kreuzungs-Name: Laube-Garten;;;;;;
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;2;0,46;10;26;1,25;0
1;Vorgelagert-Ost ;0;0;0;0;0;0
2;Vorgelagert-Süd ;0;0,06;5;20;0,37;0
3;Vorgelagert-West;0;0;0;0;0;0
;;;;;;;
Daten der WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;
0;Nord: Rechts/Gerade;4;1,73;6;32;54,53;
1;Nord: Links;0;0,39;3;26;11,96;
2;Ost: Rechts/Gerade;0;0;0;0;0;
3;Ost: Links;0;0;0;0;0;
4;Süd: Rechts/Gerade;2;0,6;5;20;20,05;
5;Süd: Links;0;0,27;3;19;8,1;
6;West: Rechts/Gerade;0;0;0;0;0;
7;West: Links;0;0;0;0;0;
;;;;;;;
;;;;;;;
;;;;;;;
Kreuzungs-ID: 9; Kreuzungs-Name: Spanier-Konzil;;;;;;
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
