;ADVANTEST CORP;AJINOMOTO CO;ALL NIPPON AIRWAYS Y50;ASAHI BANK;ASAHI BREWERIES;ASAHI CHEMICAL IND CO;ASAHI GLASS CO;BANK TOKYO-MITSUBISHI;BRIDGESTONE CORP;CANON INC;CASIO COMPUTER CO;CITIZEN WATCH CO;DAI NIPPON PRINTING CO;DAI-ICHI KANGYO BANK Y50;DAIWA SECURITIES GROUP;DENSO CORP;FANUC;FUJI BANK;FUJI PHOTO FILM CO;FUJITSU;HITACHI;HONDA MOTOR CO;INDUSTRIAL BANK OF JAPAN;ITO-YOKADO CO;JAPAN AIRCRAFT MFG CO;JUSCO CO;KANSAI ELECTRIC POWER CO;KAO CORP;KAWASAKI STEEL CORP;KIRIN BREWERY CO;KOMATSU;KYOCERA CORP;MARUI CO;MATSUSHITA ELECT IND'L;MATSUSHITA ELECTRIC WORKS Y50;MINOLTA Y50;MITSUBISHI CORP;MITSUBISHI ELECTRIC CORP;MITSUBISHI ESTATE CO;MITSUBISHI HEAVY IND;MITSUBISHI TRUST;MITSUI & CO;MITSUI FUDOSAN CO;MURATA MANUFACTURING CO;NEC CORP;NIKKO SECURITIES Y50;NINTENDO CO;NIPPON EXPRESS CO;NIPPON STEEL CORP;NIPPON TELEVISION NETWORK CORP Y500;NISSAN MOTOR CO;NOMURA SECURITIES CO;OJI PAPER CO;ORIX CORP;OSAKA GAS CO;RICOH Y50;ROHM CO;SAKURA BANK;SANKYO CO;SANWA BANK;SANYO ELECTRIC CO;SECOM CO;SEKISUI HOUSE;SEVEN-ELEVEN JAPAN NPV;SHARP CORP;SHIN-ETSU CHEMICAL CO;SHISEIDO CO;SONY CORP;SUMITOMO BANK;SUMITOMO CHEMICAL CO;SUMITOMO CORP;SUMITOMO ELECTRIC IND;TAISHO PHARMACEUTICAL CO;TAKEDA CHEMICAL IND;TDK CORP Y50;TOKAI BANK;TOKIO MARINE & FIRE;TOKYO ELECTRIC POWER CO;TOKYO ELECTRON;TOKYO GAS CO;TOPPAN PRINTING CO;TOSHIBA CORP;TOYOTA MOTOR CORP;YAMANOUCHI PHARM.;YAMATO TRANSPORT CO;YASUDA FIRE & MARINE INS Y50
35850,0000;912,5000;868,1000;797,6000;433,4000;1257,8000;482,4000;355,0000;614,4000;1661,6000;2478,8999;840,7000;703,1000;1034,6000;472,9000;336,9000;1688,7000;2838,6001;306,7000;2092,5000;1036,5000;590,6000;1145,7000;578,0000;3937,3999;31,9000;579,1000;962,2000;1851,8000;334,0000;549,4000;326,5000;1886,9000;990,5000;483,7000;512,6000;928,0000;342,4000;404,4000;406,6000;357,5000;876,6000;274,7000;448,8000;4143,1001;880,6000;242,5000;7105,8999;531,8000;304,2000;5726,8999;281,1000;517,7000;272,5000;1176,0000;564,4000;1056,5000;572,3000;279,2000;3352,3999;458,0000;360,9000;6239,2998;377,2000;6816,7998;1057,4000;2427,5000;515,4000;504,1000;526,8000;384,3000;422,5000;1384,7000;2408,5000;2278,5000;2573,7000;513,9000;520,5000;795,6000;1297,4000;442,7000;1050,4000;743,7000;1888,4000;4132,6001;1188,8000;403,9000
35851,0000;913,4000;875,0000;807,2000;427,5000;1296,9000;475,2000;366,6000;628,9000;1661,6000;2504,3999;849,1000;700,8000;1049,5000;477,6000;351,5000;1702,3000;2845,0000;317,2000;2162,8000;1051,4000;581,8000;1143,1000;586,7000;3880,8999;32,4000;594,0000;966,8000;1862,9000;322,7000;549,4000;322,4000;1965,6000;995,5000;476,0000;516,8000;936,8000;343,5000;407,7000;406,6000;362,3000;922,7000;265,5000;459,3000;4143,1001;880,6000;244,7000;7230,6001;522,4000;302,8000;5786,7002;273,0000;533,1000;270,2000;1189,7000;558,3000;1063,9000;563,4000;280,3000;3477,8000;458,0000;362,0000;6231,2998;375,3000;6762,6001;1055,2000;2445,6001;525,6000;504,1000;538,1000;387,6000;432,9000;1400,2000;2400,3999;2278,5000;2581,6001;503,0000;524,3000;802,4000;1300,3000;436,3000;1072,1000;721,2000;1905,6000;4160,1001;1196,5000;409,1000
35852,0000;866,6000;875,0000;831,1000;429,5000;1328,1000;473,4000;363,1000;639,7000;1667,4000;2478,8999;874,3000;674,0000;1049,5000;491,7000;359,6000;1722,7000;2895,3999;326,2000;2167,2000;1036,5000;593,8000;1158,9000;598,3000;3892,2000;32,9000;617,9000;962,2000;1874,0000;324,3000;574,8000;309,1000;1959,5000;990,5000;473,4000;525,2000;966,9000;341,0000;412,1000;403,7000;356,8000;949,1000;270,6000;476,7000;4306,2002;874,4000;256,3000;7292,8999;528,2000;298,7000;5801,6001;264,4000;533,1000;287,2000;1223,8000;570,5000;1041,6000;576,8000;287,7000;3571,8000;465,3000;355,6000;6344,0000;377,2000;6801,2998;1056,3000;2490,7000;542,6000;513,0000;560,7000;391,8000;442,9000;1400,2000;2448,6001;2298,2000;2589,6001;520,6000;531,9000;805,8000;1297,4000;441,1000;1064,9000;727,8000;1957,1000;4187,7002;1204,3000;406,2000
35853,0000;819,8000;868,1000;874,1000;440,7000;1320,3000;511,5000;381,1000;647,0000;1684,7000;2453,3999;874,3000;700,8000;1064,3000;501,0000;362,5000;1749,8000;2901,7000;341,2000;2176,0000;1051,4000;596,9000;1151,0000;604,1000;3897,8000;33,9000;611,9000;980,3000;1896,2000;340,4000;559,6000;307,6000;2059,5000;1035,5000;473,4000;529,4000;955,6000;338,9000;422,0000;412,5000;383,3000;982,0000;277,5000;473,2000;4327,8999;874,4000;264,8000;7230,6001;570,1000;326,2000;5711,8999;261,5000;536,2000;304,2000;1258,0000;572,6000;1004,4000;558,9000;299,0000;3540,3999;461,6000;359,9000;6335,8999;375,3000;6832,2998;1082,6000;2508,8000;539,2000;508,6000;564,5000;417,4000;460,8000;1423,4000;2384,3999;2304,8000;2549,8999;545,0000;543,3000;812,7000;1311,9000;447,5000;1079,4000;749,0000;1997,1000;4229,0000;1227,4000;415,4000
35856,0000;850,1000;875,0000;882,5000;453,3000;1359,4000;523,2000;391,7000;650,6000;1736,9000;2478,8999;950,0000;704,6000;1079,2000;501,0000;373,6000;1790,5000;2939,6001;355,5000;2198,0000;1051,4000;620,2000;1145,7000;633,2000;3824,3999;36,9000;650,7000;984,8000;1862,9000;362,9000;585,0000;311,7000;2062,5000;1050,6000;491,4000;542,0000;950,6000;345,6000;427,5000;421,3000;397,9000;988,6000;289,4000;490,6000;4327,8999;905,4000;278,1000;7168,2998;598,3000;338,6000;5442,7998;263,9000;548,5000;315,0000;1240,3000;578,7000;1026,7000;558,9000;306,9000;3509,1001;472,6000;366,2000;6360,1001;392,3000;6964,0000;1106,7000;2517,8000;529,0000;508,6000;568,2000;435,6000;482,3000;1415,6000;2408,5000;2324,6001;2560,5000;573,1000;562,3000;809,2000;1317,6000;450,7000;1130,1000;778,1000;1997,1000;4201,3999;1258,3000;440,9000
35857,0000;855,6000;882,0000;890,9000;465,8000;1335,9000;503,3000;386,7000;639,7000;1725,3000;2487,3999;950,0000;712,3000;1069,3000;505,7000;390,4000;1763,3000;2952,2000;359,0000;2167,2000;1044,0000;617,1000;1143,1000;633,2000;3937,3999;36,3000;653,7000;975,8000;1862,9000;356,5000;579,9000;306,1000;2098,8999;1060,6000;488,8000;542,0000;966,9000;359,7000;423,1000;435,9000;388,8000;962,3000;289,4000;501,0000;4327,8999;899,2000;287,7000;7355,2998;592,5000;334,5000;5771,7002;257,7000;542,4000;314,5000;1241,6000;592,9000;1041,6000;558,9000;309,2000;3571,8000;469,0000;385,3000;6400,2998;392,3000;6933,0000;1128,6000;2490,7000;532,4000;517,5000;545,7000;423,9000;476,0000;1400,2000;2392,3999;2318,0000;2579,0000;571,9000;547,1000;805,8000;1349,4000;457,2000;1093,9000;775,4000;1974,3000;4187,7002;1212,0000;429,3000
35858,0000;863,0000;875,0000;869,3000;454,6000;1351,6000;512,4000;366,6000;636,1000;1719,5000;2487,3999;966,8000;719,9000;1074,2000;496,4000;384,0000;1756,6000;2964,8000;359,0000;2180,3999;1036,5000;612,0000;1153,6000;621,6000;3937,3999;35,8000;644,7000;989,3000;1874,0000;342,0000;564,6000;309,1000;2223,0000;1040,5000;486,3000;529,4000;955,6000;356,2000;406,6000;435,9000;390,2000;955,7000;290,8000;504,5000;4349,7002;899,2000;287,7000;7355,2998;590,4000;326,2000;5831,5000;255,3000;536,2000;310,9000;1256,7000;590,9000;1063,9000;576,8000;308,6000;3655,3000;472,6000;386,3000;6440,6001;388,5000;6909,7998;1128,6000;2409,5000;532,4000;517,5000;545,7000;410,0000;456,6000;1384,7000;2424,5000;2298,2000;2605,3999;559,1000;562,3000;805,8000;1332,1000;463,6000;1151,8000;775,4000;1997,1000;4284,1001;1227,4000;427,6000
35859,0000;842,8000;868,1000;864,6000;442,0000;1328,1000;499,7000;360,1000;628,9000;1719,5000;2495,8999;966,8000;701,6000;1094,0000;491,7000;369,5000;1749,8000;2901,7000;355,5000;2136,5000;1021,7000;605,1000;1151,0000;615,8000;3914,8000;34,8000;641,7000;989,3000;1862,9000;342,0000;554,5000;318,3000;2104,8999;1030,5000;481,1000;512,6000;938,0000;349,8000;411,0000;430,0000;383,9000;942,5000;289,4000;483,6000;4349,7002;893,0000;277,6000;6918,8999;572,3000;316,6000;5816,6001;245,3000;520,8000;307,4000;1237,5000;586,8000;1056,5000;572,3000;304,1000;3644,8999;469,0000;383,2000;6400,2998;392,3000;7002,7998;1106,7000;2310,2000;529,0000;495,2000;549,4000;410,0000;451,8000;1361,5000;2400,3999;2271,8999;2549,8999;548,1000;547,1000;805,8000;1309,0000;454,0000;1115,6000;749,0000;1991,4000;4297,8999;1219,7000;416,0000
35860,0000;843,7000;868,1000;829,9000;452,6000;1320,3000;512,4000;369,6000;636,1000;1736,9000;2487,3999;966,8000;716,1000;1118,8000;501,0000;381,1000;1749,8000;2870,2000;372,9000;2189,2000;1044,0000;615,8000;1161,5000;621,6000;3914,8000;34,4000;641,7000;989,3000;1874,0000;351,6000;574,8000;314,2000;2059,5000;1045,6000;486,3000;521,0000;949,3000;359,7000;407,7000;435,9000;397,2000;968,9000;290,8000;501,0000;4273,6001;899,2000;281,8000;6918,8999;587,5000;327,6000;5891,2998;247,2000;527,0000;312,3000;1281,3000;592,9000;1049,0000;590,2000;305,2000;3686,6001;472,6000;378,9000;6464,7998;392,3000;7018,2002;1139,6000;2301,2000;518,8000;504,1000;553,2000;420,6000;472,3000;1377,0000;2400,3999;2298,2000;2526,1001;571,9000;547,1000;816,1000;1274,3000;454,0000;1115,6000;758,2000;2002,9000;4297,8999;1219,7000;418,3000
35863,0000;834,5000;854,2000;825,1000;442,7000;1312,5000;492,4000;384,2000;628,9000;1707,9000;2512,8000;966,8000;689,3000;1099,0000;501,0000;382,3000;1743,0000;2807,1001;386,9000;2162,8000;1006,9000;610,1000;1166,8000;615,8000;3886,5000;33,8000;638,8000;975,8000;1874,0000;358,1000;564,6000;314,7000;1941,4000;1040,5000;478,5000;521,0000;946,8000;363,2000;396,7000;433,0000;389,5000;962,3000;289,8000;501,0000;4273,6001;874,4000;283,9000;6856,6001;588,9000;330,3000;5891,2998;248,2000;520,8000;306,9000;1245,7000;572,6000;1034,1000;572,3000;304,1000;3759,7000;465,3000;389,5000;6352,0000;381,0000;6902,0000;1106,7000;2256,1001;522,2000;499,6000;545,7000;420,6000;472,8000;1369,2000;2328,2000;2271,8999;2565,8000;571,2000;539,5000;809,2000;1236,7000;445,9000;1101,1000;727,8000;1980,0000;4270,2998;1219,7000;421,8000
