;ADVANTEST CORP;AJINOMOTO CO;ALL NIPPON AIRWAYS Y50;ASAHI BANK;ASAHI BREWERIES;ASAHI CHEMICAL IND CO;ASAHI GLASS CO;BANK TOKYO-MITSUBISHI;BRIDGESTONE CORP;CANON INC;CASIO COMPUTER CO;CITIZEN WATCH CO;DAI NIPPON PRINTING CO;DAI-ICHI KANGYO BANK Y50;DAIWA SECURITIES GROUP;DENSO CORP;FANUC;FUJI BANK;FUJI PHOTO FILM CO;FUJITSU;HITACHI;HONDA MOTOR CO;INDUSTRIAL BANK OF JAPAN;ITO-YOKADO CO;JAPAN AIRCRAFT MFG CO;JUSCO CO;KANSAI ELECTRIC POWER CO;KAO CORP;KAWASAKI STEEL CORP;KIRIN BREWERY CO;KOMATSU;KYOCERA CORP
2798582400000;380;1900,6;1869,1;716,6;1326,2;841,9;877;860,3;672,8;1062,4;1084,2;612,3;1135;1142,5;1156,5;1126,1;3801,2;938,9;1105,7;1189,3;902,8;510,8;1736,4;1948,9;109,2;472,1;1072,3;1506,9;988,5;805,2;324,1;1494
2798668800000;379,85;1900,4;1869;716;1325;841,3;876;860;672;1061;1084;612;1134;1142;1156;1126;3800;938,7;1105,5;1189;902;510;1736;1948;109,2;472;1072;1506;988;805,01;323,875;1493,123
2798755200000;379,7;1900,2;1868,9;715,4;1323,8;840,7;875;859,7;671,2;1059,6;1083,8;611,7;1133;1141,5;1155,5;1125,9;3798,8;938,5;1105,3;1188,7;901,2;509,2;1735,6;1947,1;109,2;471,9;1071,7;1505,1;987,5;804,82;323,65;1492,246
2798841600000;379,55;1900;1868,8;714,8;1322,6;840,1;874;859,4;670,4;1058,2;1083,6;611,4;1132;1141;1155;1125,8;3797,6;938,3;1105,1;1188,4;900,4;508,4;1735,2;1946,2;109,2;471,8;1071,4;1504,2;987;804,63;323,425;1491,369
2798928000000;379,4;1899,8;1868,7;714,2;1321,4;839,5;873;859,1;669,6;1056,8;1083,4;611,1;1131;1140,5;1154,5;1125,7;3796,4;938,1;1104,9;1188,1;899,6;507,6;1734,8;1945,3;109,2;471,7;1071,1;1503,3;986,5;804,44;323,2;1490,492
2799187200000;379,25;1899,6;1868,6;713,6;1320,2;838,9;872;858,8;668,8;1055,4;1083,2;610,8;1130;1140;1154;1125,6;3795,2;937,9;1104,7;1187,8;898,8;506,8;1734,4;1944,4;109,2;471,6;1070,8;1502,4;986;804,25;322,975;1489,615
2799273600000;379,1;1899,4;1868,5;713;1319;838,3;871;858,5;668;1054;1083;610,5;1129;1139,5;1153,5;1125,5;3794;937,7;1104,5;1187,5;898;506;1734;1943,5;109,2;471,5;1070,5;1501,5;985,5;804,06;322,75;1488,738
2799360000000;378,95;1939,5;1868,4;712,4;1317,8;837,7;870;858,2;667,2;1052,6;1082,8;610,2;1128;1139;1153;1125,4;3792,8;937,5;1104,3;1187,2;897,2;505,2;1733,6;1942,6;109,2;471,4;1070,2;1500,6;985;803,87;322,525;1487,861
2799446400000;378,8;1939,5;1868,3;711,8;1316,6;837,1;869;857,9;666,4;1051,2;1082,6;609,9;1127;1138,5;1152,5;1125,3;3791,6;937,3;1104,1;1186,9;896,4;504,4;1733,2;1941,7;109,2;471,3;1069,9;1499,7;984,5;803,68;322,3;1486,984
2799532800000;378,65;1933,1;1868,2;711,2;1315,4;836,5;868;857,6;665,6;1049,8;1082,4;609,6;1126;1138;1152;1125,2;3790,4;937,1;1103,9;1186,6;895,6;503,6;1732,8;1940,8;109,2;471,2;1069,6;1498,8;984;803,49;322,075;1486,107
